#rank	DIAMOnD_node	p_hyper
1	10584	0.00217332198499902
2	721	2.6559041801445163e-05
3	4153	1.0631334567777988e-05
4	100423062	3.5386361087803426e-05
5	629	8.827335027633048e-05
6	727	1.1740905381201346e-06
7	3004	0.004347826086942916
8	1675	0.004891304347810774
9	719	0.00543478260867865
10	1370	0.0059782608695465094
11	5806	0.019448400055512276
12	7130	0.007065217391282234
13	3078	0.015163604983787235
14	102723407	0.02427077727432766
15	3543	0.00042125157178582706
16	5284	0.009239130434753688
17	7441	0.00978260869562153
18	29802	0.01032608695648944
19	3383	0.03227289211890691
20	728	0.03386804669230246
21	4049	0.058432043810262964
22	7132	0.012418469587933122
23	4214	0.0083495593478784
24	7124	0.0010461254249515227
25	8772	0.0001991070550966391
26	56957	9.495112880175596e-05
27	329	8.480201621458932e-06
28	8517	4.0988856191316917e-07
29	356	3.850284924506866e-06
30	4215	4.336465415820412e-06
