#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	THPO	9606.ENSP00000451828	9606.ENSP00000204615	0	0	0	0	0	0	0	0.455	0.455
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	CALR	9606.ENSP00000451828	9606.ENSP00000320866	0	0	0	0	0.065	0.056	0	0.467	0.489
AKT1	FAS	9606.ENSP00000451828	9606.ENSP00000347979	0	0	0	0	0	0	0	0.548	0.548
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.062	0.852	0	0.952	0.992
AKT1	MPL	9606.ENSP00000451828	9606.ENSP00000361548	0	0	0	0	0	0.058	0	0.415	0.425
AKT1	STAT4	9606.ENSP00000451828	9606.ENSP00000376134	0	0	0	0	0	0.140	0	0.598	0.640
AKT1	CBSL	9606.ENSP00000451828	9606.ENSP00000381231	0	0	0	0	0	0.104	0	0.388	0.428
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.690	0.697
C4A	HLA-DRB1	9606.ENSP00000396688	9606.ENSP00000353099	0	0	0	0	0.080	0	0	0.469	0.490
C4A	SERPINC1	9606.ENSP00000396688	9606.ENSP00000356671	0	0	0	0	0.142	0	0	0.556	0.602
C4A	PROS1	9606.ENSP00000396688	9606.ENSP00000377783	0	0	0	0	0.089	0	0	0.899	0.904
C4A	IL10	9606.ENSP00000396688	9606.ENSP00000412237	0	0	0	0	0	0	0	0.404	0.404
C4A	HLA-B	9606.ENSP00000396688	9606.ENSP00000399168	0	0	0	0	0.088	0	0	0.529	0.552
CALR	THPO	9606.ENSP00000320866	9606.ENSP00000204615	0	0	0	0	0	0	0	0.417	0.416
CALR	TP53	9606.ENSP00000320866	9606.ENSP00000269305	0	0	0	0	0.060	0	0	0.618	0.626
CALR	IL10	9606.ENSP00000320866	9606.ENSP00000412237	0	0	0	0	0	0	0	0.459	0.459
CALR	AKT1	9606.ENSP00000320866	9606.ENSP00000451828	0	0	0	0	0.065	0.056	0	0.467	0.489
CALR	SH2B3	9606.ENSP00000320866	9606.ENSP00000345492	0	0	0	0	0	0	0	0.526	0.526
CALR	TET2	9606.ENSP00000320866	9606.ENSP00000442788	0	0	0	0	0	0	0	0.601	0.601
CALR	JAK2	9606.ENSP00000320866	9606.ENSP00000371067	0	0	0	0	0	0.056	0	0.759	0.762
CALR	HLA-B	9606.ENSP00000320866	9606.ENSP00000399168	0	0	0	0	0	0.270	0.600	0.378	0.802
CALR	MPL	9606.ENSP00000320866	9606.ENSP00000361548	0	0	0	0	0	0	0	0.985	0.985
CBSL	AKT1	9606.ENSP00000381231	9606.ENSP00000451828	0	0	0	0	0	0.104	0	0.388	0.428
FAS	TP53	9606.ENSP00000347979	9606.ENSP00000269305	0	0	0	0	0.063	0	0.900	0.682	0.967
FAS	AKT1	9606.ENSP00000347979	9606.ENSP00000451828	0	0	0	0	0	0	0	0.548	0.548
FAS	IL10	9606.ENSP00000347979	9606.ENSP00000412237	0	0	0	0	0	0	0	0.606	0.606
HLA-B	CALR	9606.ENSP00000399168	9606.ENSP00000320866	0	0	0	0	0	0.270	0.600	0.378	0.802
HLA-B	IL23R	9606.ENSP00000399168	9606.ENSP00000321345	0	0	0	0	0	0	0	0.405	0.405
HLA-B	PTPN22	9606.ENSP00000399168	9606.ENSP00000352833	0	0	0	0	0.088	0	0	0.454	0.480
HLA-B	HLA-DRB1	9606.ENSP00000399168	9606.ENSP00000353099	0	0	0	0.621	0.163	0	0.900	0.880	0.941
HLA-B	C4A	9606.ENSP00000399168	9606.ENSP00000396688	0	0	0	0	0.088	0	0	0.529	0.552
HLA-DRB1	PTPN22	9606.ENSP00000353099	9606.ENSP00000352833	0	0	0	0	0.128	0	0.900	0.894	0.989
HLA-DRB1	IL10	9606.ENSP00000353099	9606.ENSP00000412237	0	0	0	0	0	0	0	0.480	0.480
HLA-DRB1	C4A	9606.ENSP00000353099	9606.ENSP00000396688	0	0	0	0	0.080	0	0	0.469	0.490
HLA-DRB1	STAT4	9606.ENSP00000353099	9606.ENSP00000376134	0	0	0	0	0.069	0	0	0.611	0.622
HLA-DRB1	HLA-B	9606.ENSP00000353099	9606.ENSP00000399168	0	0	0	0.621	0.163	0	0.900	0.880	0.941
IFNGR1	THPO	9606.ENSP00000356713	9606.ENSP00000204615	0	0	0	0	0	0	0.600	0.095	0.622
IFNGR1	STAT4	9606.ENSP00000356713	9606.ENSP00000376134	0	0	0	0	0	0.057	0	0.697	0.702
IFNGR1	IL10	9606.ENSP00000356713	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.549	0.811
IFNGR1	JAK2	9606.ENSP00000356713	9606.ENSP00000371067	0	0	0	0	0.049	0.707	0.900	0.984	0.999
IL10	MEFV	9606.ENSP00000412237	9606.ENSP00000219596	0	0	0	0	0.095	0	0	0.452	0.483
IL10	TP53	9606.ENSP00000412237	9606.ENSP00000269305	0	0	0	0	0	0	0	0.580	0.580
IL10	CALR	9606.ENSP00000412237	9606.ENSP00000320866	0	0	0	0	0	0	0	0.459	0.459
IL10	IL23R	9606.ENSP00000412237	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.657	0.857
IL10	FAS	9606.ENSP00000412237	9606.ENSP00000347979	0	0	0	0	0	0	0	0.606	0.606
IL10	PTPN22	9606.ENSP00000412237	9606.ENSP00000352833	0	0	0	0	0	0	0	0.469	0.469
IL10	HLA-DRB1	9606.ENSP00000412237	9606.ENSP00000353099	0	0	0	0	0	0	0	0.480	0.480
IL10	SERPINC1	9606.ENSP00000412237	9606.ENSP00000356671	0	0	0	0	0	0	0	0.404	0.404
IL10	IFNGR1	9606.ENSP00000412237	9606.ENSP00000356713	0	0	0	0	0	0	0.600	0.549	0.811
IL10	PTEN	9606.ENSP00000412237	9606.ENSP00000361021	0	0	0	0	0	0	0	0.481	0.481
IL10	MPL	9606.ENSP00000412237	9606.ENSP00000361548	0	0	0	0	0	0	0.600	0.134	0.638
IL10	JAK2	9606.ENSP00000412237	9606.ENSP00000371067	0	0	0	0	0	0.060	0	0.700	0.706
IL10	STAT4	9606.ENSP00000412237	9606.ENSP00000376134	0	0	0	0	0	0.068	0.900	0.707	0.970
IL10	C4A	9606.ENSP00000412237	9606.ENSP00000396688	0	0	0	0	0	0	0	0.404	0.404
IL10	AKT1	9606.ENSP00000412237	9606.ENSP00000451828	0	0	0	0	0	0.060	0	0.690	0.697
IL23R	THPO	9606.ENSP00000321345	9606.ENSP00000204615	0	0	0	0	0	0	0.600	0	0.600
IL23R	HLA-B	9606.ENSP00000321345	9606.ENSP00000399168	0	0	0	0	0	0	0	0.405	0.405
IL23R	PTPN22	9606.ENSP00000321345	9606.ENSP00000352833	0	0	0	0	0.062	0	0	0.595	0.603
IL23R	IL10	9606.ENSP00000321345	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.657	0.857
IL23R	STAT4	9606.ENSP00000321345	9606.ENSP00000376134	0	0	0	0	0.062	0	0.900	0.653	0.964
IL23R	JAK2	9606.ENSP00000321345	9606.ENSP00000371067	0	0	0	0	0	0.213	0.900	0.959	0.996
JAK2	THPO	9606.ENSP00000371067	9606.ENSP00000204615	0	0	0	0	0	0	0.900	0.685	0.967
JAK2	TP53	9606.ENSP00000371067	9606.ENSP00000269305	0	0	0	0	0.049	0.056	0	0.685	0.692
JAK2	CALR	9606.ENSP00000371067	9606.ENSP00000320866	0	0	0	0	0	0.056	0	0.759	0.762
JAK2	IL23R	9606.ENSP00000371067	9606.ENSP00000321345	0	0	0	0	0	0.213	0.900	0.959	0.996
JAK2	SH2B3	9606.ENSP00000371067	9606.ENSP00000345492	0	0	0	0	0.062	0.182	0.900	0.884	0.989
JAK2	IFNGR1	9606.ENSP00000371067	9606.ENSP00000356713	0	0	0	0	0.049	0.707	0.900	0.984	0.999
JAK2	PTEN	9606.ENSP00000371067	9606.ENSP00000361021	0	0	0	0	0.066	0.111	0	0.712	0.740
JAK2	MPL	9606.ENSP00000371067	9606.ENSP00000361548	0	0	0	0	0	0.705	0.900	0.943	0.998
JAK2	IL10	9606.ENSP00000371067	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.700	0.706
JAK2	TET2	9606.ENSP00000371067	9606.ENSP00000442788	0	0	0	0	0.085	0	0	0.739	0.751
JAK2	STAT4	9606.ENSP00000371067	9606.ENSP00000376134	0	0	0	0	0.058	0.140	0.900	0.819	0.983
MEFV	IL10	9606.ENSP00000219596	9606.ENSP00000412237	0	0	0	0	0.095	0	0	0.452	0.483
MPL	THPO	9606.ENSP00000361548	9606.ENSP00000204615	0	0	0	0	0	0.463	0.900	0.990	0.999
MPL	CALR	9606.ENSP00000361548	9606.ENSP00000320866	0	0	0	0	0	0	0	0.985	0.985
MPL	SH2B3	9606.ENSP00000361548	9606.ENSP00000345492	0	0	0	0	0.062	0	0	0.702	0.709
MPL	AKT1	9606.ENSP00000361548	9606.ENSP00000451828	0	0	0	0	0	0.058	0	0.415	0.425
MPL	TET2	9606.ENSP00000361548	9606.ENSP00000442788	0	0	0	0	0	0	0	0.465	0.465
MPL	IL10	9606.ENSP00000361548	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.134	0.638
MPL	JAK2	9606.ENSP00000361548	9606.ENSP00000371067	0	0	0	0	0	0.705	0.900	0.943	0.998
PROS1	SERPINC1	9606.ENSP00000377783	9606.ENSP00000356671	0	0	0	0	0.062	0	0	0.606	0.614
PROS1	C4A	9606.ENSP00000377783	9606.ENSP00000396688	0	0	0	0	0.089	0	0	0.899	0.904
PTEN	TP53	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0	0.851	0.900	0.986	0.999
PTEN	TET2	9606.ENSP00000361021	9606.ENSP00000442788	0	0	0	0	0.065	0	0	0.424	0.438
