#node	identifier	node_degree
AKT1	9606.ENSP00000451828	12
C3AR1	9606.ENSP00000302079	8
C4A	9606.ENSP00000396688	15
C4B	9606.ENSP00000415941	15
C5	9606.ENSP00000223642	10
C5AR1	9606.ENSP00000347197	8
CALR	9606.ENSP00000320866	10
CBSL	9606.ENSP00000381231	1
CFB	9606.ENSP00000416561	11
CFD	9606.ENSP00000332139	5
CFHR1	9606.ENSP00000314299	8
COLEC10	9606.ENSP00000332723	5
CPN2	9606.ENSP00000319464	1
CYFIP1	9606.ENSP00000481038	3
FAS	9606.ENSP00000347979	4
GZMM	9606.ENSP00000264553	1
HLA-B	9606.ENSP00000399168	8
HLA-DRB1	9606.ENSP00000353099	6
ICAM1	9606.ENSP00000264832	10
IFNGR1	9606.ENSP00000356713	4
IGHV4-38-2	9606.ENSP00000478289	9
IGLL1	9606.ENSP00000329312	4
IGLL5	9606.ENSP00000431254	8
IL10	9606.ENSP00000412237	24
IL23R	9606.ENSP00000321345	7
JAK2	9606.ENSP00000371067	13
MBL2	9606.ENSP00000363079	13
MEFV	9606.ENSP00000219596	1
MPL	9606.ENSP00000361548	7
MYH7	9606.ENSP00000347507	0
MZT1	9606.ENSP00000367049	3
P4HA2	9606.ENSP00000384999	0
PIGA	9606.ENSP00000369820	1
PIGR	9606.ENSP00000348888	3
PROS1	9606.ENSP00000377783	3
PTEN	9606.ENSP00000361021	5
PTPN22	9606.ENSP00000352833	7
PTX3	9606.ENSP00000295927	6
SERPINC1	9606.ENSP00000356671	8
SH2B3	9606.ENSP00000345492	6
STAT4	9606.ENSP00000376134	9
TET2	9606.ENSP00000442788	7
THPO	9606.ENSP00000204615	8
TNFAIP6	9606.ENSP00000243347	2
TP53	9606.ENSP00000269305	11
TUBG1	9606.ENSP00000251413	3
TUBG2	9606.ENSP00000251412	3
TUBGCP5	9606.ENSP00000480316	5
VPREB1	9606.ENSP00000385361	3
VPREB3	9606.ENSP00000248948	2
