#node	identifier	node_degree
AKT1	9606.ENSP00000451828	9
C4A	9606.ENSP00000396688	5
CALR	9606.ENSP00000320866	9
CBSL	9606.ENSP00000381231	1
FAS	9606.ENSP00000347979	3
HLA-B	9606.ENSP00000399168	5
HLA-DRB1	9606.ENSP00000353099	5
IFNGR1	9606.ENSP00000356713	4
IL10	9606.ENSP00000412237	15
IL23R	9606.ENSP00000321345	6
JAK2	9606.ENSP00000371067	11
MEFV	9606.ENSP00000219596	1
MPL	9606.ENSP00000361548	7
MYH7	9606.ENSP00000347507	0
P4HA2	9606.ENSP00000384999	0
PIGA	9606.ENSP00000369820	0
PROS1	9606.ENSP00000377783	2
PTEN	9606.ENSP00000361021	5
PTPN22	9606.ENSP00000352833	7
SERPINC1	9606.ENSP00000356671	3
SH2B3	9606.ENSP00000345492	6
STAT4	9606.ENSP00000376134	8
TET2	9606.ENSP00000442788	7
THPO	9606.ENSP00000204615	8
TP53	9606.ENSP00000269305	9
