#node	identifier	node_degree
AKT1	9606.ENSP00000451828	27
BRK1	9606.ENSP00000432472	1
C3AR1	9606.ENSP00000302079	10
C4A	9606.ENSP00000396688	15
C4B	9606.ENSP00000415941	15
C5	9606.ENSP00000223642	11
C5AR1	9606.ENSP00000347197	13
CALR	9606.ENSP00000320866	13
CBSL	9606.ENSP00000381231	1
CCL2	9606.ENSP00000225831	34
CCL22	9606.ENSP00000219235	14
CCL3	9606.ENSP00000477908	22
CCL3L3	9606.ENSP00000480558	12
CCL5	9606.ENSP00000474412	25
CFB	9606.ENSP00000416561	12
CFD	9606.ENSP00000332139	6
CFHR1	9606.ENSP00000314299	8
COLEC10	9606.ENSP00000332723	5
CPN2	9606.ENSP00000319464	1
CSF2	9606.ENSP00000296871	32
CTF1	9606.ENSP00000279804	7
CTSG	9606.ENSP00000216336	10
CXCL1	9606.ENSP00000379110	26
CXCL2	9606.ENSP00000427279	22
CYFIP1	9606.ENSP00000481038	4
ELANE	9606.ENSP00000466090	17
FAS	9606.ENSP00000347979	6
GZMM	9606.ENSP00000264553	1
HBEGF	9606.ENSP00000230990	14
HLA-B	9606.ENSP00000399168	8
HLA-DRB1	9606.ENSP00000353099	6
ICAM1	9606.ENSP00000264832	23
IFNGR1	9606.ENSP00000356713	11
IGFALS	9606.ENSP00000416683	2
IGHV4-38-2	9606.ENSP00000478289	9
IGLL1	9606.ENSP00000329312	4
IGLL5	9606.ENSP00000431254	8
IL10	9606.ENSP00000412237	45
IL12A	9606.ENSP00000303231	18
IL12B	9606.ENSP00000231228	18
IL1A	9606.ENSP00000263339	25
IL23A	9606.ENSP00000228534	18
IL23R	9606.ENSP00000321345	15
JAK2	9606.ENSP00000371067	24
LBP	9606.ENSP00000217407	7
LIF	9606.ENSP00000249075	27
MBL2	9606.ENSP00000363079	14
MEFV	9606.ENSP00000219596	2
MMP1	9606.ENSP00000322788	23
MMP7	9606.ENSP00000260227	12
MMP9	9606.ENSP00000361405	27
MPL	9606.ENSP00000361548	14
MPO	9606.ENSP00000225275	19
MYH7	9606.ENSP00000347507	0
MZT1	9606.ENSP00000367049	3
OSM	9606.ENSP00000215781	20
P4HA2	9606.ENSP00000384999	0
PIGA	9606.ENSP00000369820	1
PIGR	9606.ENSP00000348888	3
PROS1	9606.ENSP00000377783	3
PTEN	9606.ENSP00000361021	8
PTPN22	9606.ENSP00000352833	7
PTX3	9606.ENSP00000295927	11
SERPINC1	9606.ENSP00000356671	12
SH2B3	9606.ENSP00000345492	6
STAT4	9606.ENSP00000376134	18
TET2	9606.ENSP00000442788	7
THPO	9606.ENSP00000204615	12
TNFAIP6	9606.ENSP00000243347	6
TP53	9606.ENSP00000269305	22
TUBG1	9606.ENSP00000251413	3
TUBG2	9606.ENSP00000251412	3
TUBGCP5	9606.ENSP00000480316	5
VPREB1	9606.ENSP00000385361	3
VPREB3	9606.ENSP00000248948	2
