"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007623","GO:0007623","circadian rhythm","5/7","205/18800",3.02937282447143e-09,3.2444582950089e-06,7.20671850874256e-07,"EP300/GSK3B/PTEN/TP53/UBE3A",5
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","5/7","258/18800",9.61680172917666e-09,5.1497973259741e-06,1.14389325831259e-06,"GSK3B/HSP90AA1/MDM2/PTEN/UBE3A",5
"GO:0048511","GO:0048511","rhythmic process","5/7","297/18800",1.94728393953913e-08,5.48293990592263e-06,1.21789219985111e-06,"EP300/GSK3B/PTEN/TP53/UBE3A",5
"GO:0031647","GO:0031647","regulation of protein stability","5/7","300/18800",2.0477833448824e-08,5.48293990592263e-06,1.21789219985111e-06,"EP300/HSP90AA1/MDM2/PTEN/TP53",5
"GO:0042176","GO:0042176","regulation of protein catabolic process","5/7","395/18800",8.09957800202589e-08,1.73492960803395e-05,3.85369395464811e-06,"GSK3B/HSP90AA1/MDM2/PTEN/UBE3A",5
"GO:1903364","GO:1903364","positive regulation of cellular protein catabolic process","4/7","157/18800",1.60672566893963e-07,2.86800531905724e-05,6.37052633649748e-06,"GSK3B/HSP90AA1/MDM2/PTEN",4
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","4/7","166/18800",2.00995511085627e-07,3.07523131961009e-05,6.83082488802281e-06,"GSK3B/MDM2/PTEN/UBE3A",4
"GO:0050821","GO:0050821","protein stabilization","4/7","191/18800",3.52836573934557e-07,4.72359963354888e-05,1.04922454880539e-05,"EP300/HSP90AA1/PTEN/TP53",4
"GO:0046677","GO:0046677","response to antibiotic","3/7","46/18800",4.76545213731659e-07,5.67088804340674e-05,1.2596399801562e-05,"HSP90AA1/MDM2/TP53",3
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","3/7","51/18800",6.53236221017335e-07,6.38627774980438e-05,1.41854515844099e-05,"EP300/GSK3B/TP53",3
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","4/7","223/18800",6.55920217066743e-07,6.38627774980438e-05,1.41854515844099e-05,"GSK3B/MDM2/PTEN/UBE3A",4
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","4/7","233/18800",7.81632306954677e-07,6.97606833957049e-05,1.54955176641892e-05,"GSK3B/HSP90AA1/MDM2/PTEN",4
"GO:0034605","GO:0034605","cellular response to heat","3/7","66/18800",1.43195593118091e-06,0.000117971138638058,2.62042138013673e-05,"EP300/GSK3B/HSP90AA1",3
"GO:0001666","GO:0001666","response to hypoxia","4/7","286/18800",1.77078451272181e-06,0.000128204513394418,2.84772912940572e-05,"EP300/MDM2/PTEN/TP53",4
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","4/7","287/18800",1.79558142008989e-06,0.000128204513394418,2.84772912940572e-05,"EP300/GSK3B/PTEN/TP53",4
"GO:0036293","GO:0036293","response to decreased oxygen levels","4/7","299/18800",2.11376417763599e-06,0.000141490089640509,3.14283357990614e-05,"EP300/MDM2/PTEN/TP53",4
