#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	THPO	9606.ENSP00000451828	9606.ENSP00000204615	0	0	0	0	0	0	0	0.455	0.455
AKT1	ICAM1	9606.ENSP00000451828	9606.ENSP00000264832	0	0	0	0	0	0	0	0.678	0.678
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	CALR	9606.ENSP00000451828	9606.ENSP00000320866	0	0	0	0	0.065	0.056	0	0.467	0.489
AKT1	FAS	9606.ENSP00000451828	9606.ENSP00000347979	0	0	0	0	0	0	0	0.548	0.548
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.062	0.852	0	0.952	0.992
AKT1	MPL	9606.ENSP00000451828	9606.ENSP00000361548	0	0	0	0	0	0.058	0	0.415	0.425
AKT1	STAT4	9606.ENSP00000451828	9606.ENSP00000376134	0	0	0	0	0	0.140	0	0.598	0.640
AKT1	CBSL	9606.ENSP00000451828	9606.ENSP00000381231	0	0	0	0	0	0.104	0	0.388	0.428
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.690	0.697
AKT1	IGHV4-38-2	9606.ENSP00000451828	9606.ENSP00000478289	0	0	0	0	0	0	0	0.405	0.405
AKT1	CYFIP1	9606.ENSP00000451828	9606.ENSP00000481038	0	0	0	0	0.104	0.063	0	0.859	0.872
C3AR1	C5	9606.ENSP00000302079	9606.ENSP00000223642	0	0	0	0	0	0.134	0.600	0.752	0.906
C3AR1	CFB	9606.ENSP00000302079	9606.ENSP00000416561	0	0	0	0	0.062	0	0	0.520	0.531
C3AR1	CFD	9606.ENSP00000302079	9606.ENSP00000332139	0	0	0	0	0.117	0	0	0.497	0.537
C3AR1	IL10	9606.ENSP00000302079	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.527	0.538
C3AR1	MBL2	9606.ENSP00000302079	9606.ENSP00000363079	0	0	0	0	0.062	0	0	0.596	0.604
C3AR1	C5AR1	9606.ENSP00000302079	9606.ENSP00000347197	0	0	0	0.817	0.141	0	0.600	0.984	0.706
C3AR1	C4A	9606.ENSP00000302079	9606.ENSP00000396688	0	0	0	0	0.077	0.249	0	0.683	0.762
C3AR1	C4B	9606.ENSP00000302079	9606.ENSP00000415941	0	0	0	0	0.074	0.086	0	0.796	0.813
C4A	C5	9606.ENSP00000396688	9606.ENSP00000223642	0	0	0	0.690	0.083	0	0.900	0.840	0.929
